driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiScore,sentiment,siteCode,trigger
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-26 00:00:00,5.0,"We have had this for a few months and it is great for a large family, the filters do not last very long but with the amount of water being filtered that is be expected.",Great for families,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=2,G,water filter_#N/A_B00IK5A4U8_G_35_168, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-26 00:00:00,5.0,"Was a gift, fits fridge nicely",Five Stars,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=2,cindy,water filter_#N/A_B00IK5A4U8_cindy_6_30, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-26 00:00:00,5.0,Bought as a gift and she loves and uses it all the time.,Five Stars,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=2,Celeste,water filter_#N/A_B00IK5A4U8_Celeste_13_56, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-25 00:00:00,5.0,"This is the second one I have purchased..the first, slipped put of my hands and broke...it was a mess...
I highly recommend this product..just do not drop it!!",I highly recommend this product,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=2,Chasehop,water filter_#N/A_B00IK5A4U8_Chasehop_27_159, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-25 00:00:00,5.0,Love it!!,Five Stars,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=2,caliloveps,water filter_#N/A_B00IK5A4U8_caliloveps_2_9, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-25 00:00:00,5.0,"The tap water in my new apartment tastes horrible and I hate buying bottled water because it's not good for the environment, so I finally found this filtration dispenser. I don't like really cold water, so I never wanted one of the water pitchers that you keep in the fridge. I love that this sits on the countertop and I can drink my water room temperature. It holds quite a bit so I don't have to fill it up every few glasses. The spout pours the water out at a pretty good flow rate, too.",Great to sit on the countertop,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=2,A.M.,water filter_#N/A_B00IK5A4U8_A.M._95_491, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-24 00:00:00,1.0,"I was really disappointed with my purchase. Within 2 weeks the filter was blocked and even after following the instructions on how to clear the blockage it still did not work. I have no intentions of replacing the filter, because i fear that the same thing will happen again. This purchase was a waste of my money.",Waste of money!!!,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=2,Joan Wilkinson,water filter_#N/A_B00IK5A4U8_Joan Wilkinson_57_314, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-22 00:00:00,5.0,Fits in fridge so much better than a britta,Five Stars,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=2,#N/A,water filter_#N/A_B00IK5A4U8__9_43, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-22 00:00:00,5.0,It's big at the same time compact. The taste of water is fine. Overall we love this water purifier.,Love this water purifier,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=2,Amazon Customer,water filter_#N/A_B00IK5A4U8_Amazon Customer_19_99, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-22 00:00:00,5.0,"Allows you to filter and store a lot of water in a small space. Spigot is sturdy and does not leak. Water is clean, sparkly and tastes wonderful.",Spigot is sturdy and does not leak,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=2,Charles,water filter_#N/A_B00IK5A4U8_Charles_28_145, , ,AM, 
 ,#N/A,water filter,"Color:Chrome
The improved next generation of PUR faucet water filter is at your service with the PUR Advanced Faucet Water Filter - Chrome FM-3700B. With 1-click installation, superior contaminant removal, and a Two-year warranty, there's never been an easier or more reliable way to get PUR water. Each PUR faucet water filter gives you up to 100 gallons (2 – 3 months) of clean, healthy, great-tasting water.",https://images-na.ssl-images-amazon.com/images/I/61fRqGhcaTL._SY450_.jpg,B0009CEKY6,3.8,"PUR 3-Stage Advanced Faucet Water Filter, 7.7-Inch by 3.2-Inch, Chrome",https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/dp/B0009CEKY6/ref=sr_1_4?ie=UTF8&qid=1498726227&sr=8-4&keywords=water+filter,water filter_#N/A_B0009CEKY6,$28.82,2017-06-28 00:00:00,5.0,Detach feature was super helpful. Should get it for the house...,Five Stars,https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/product-reviews/B0009CEKY6/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,water filter_#N/A_B0009CEKY6_Amazon Customer_11_64, , ,AM, 
 ,#N/A,water filter,"Color:Chrome
The improved next generation of PUR faucet water filter is at your service with the PUR Advanced Faucet Water Filter - Chrome FM-3700B. With 1-click installation, superior contaminant removal, and a Two-year warranty, there's never been an easier or more reliable way to get PUR water. Each PUR faucet water filter gives you up to 100 gallons (2 – 3 months) of clean, healthy, great-tasting water.",https://images-na.ssl-images-amazon.com/images/I/61fRqGhcaTL._SY450_.jpg,B0009CEKY6,3.8,"PUR 3-Stage Advanced Faucet Water Filter, 7.7-Inch by 3.2-Inch, Chrome",https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/dp/B0009CEKY6/ref=sr_1_4?ie=UTF8&qid=1498726227&sr=8-4&keywords=water+filter,water filter_#N/A_B0009CEKY6,$28.82,2017-06-28 00:00:00,5.0,ok,Five Stars,https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/product-reviews/B0009CEKY6/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Happy Customer,water filter_#N/A_B0009CEKY6_Happy Customer_1_2, , ,AM, 
 ,#N/A,water filter,"Color:Chrome
The improved next generation of PUR faucet water filter is at your service with the PUR Advanced Faucet Water Filter - Chrome FM-3700B. With 1-click installation, superior contaminant removal, and a Two-year warranty, there's never been an easier or more reliable way to get PUR water. Each PUR faucet water filter gives you up to 100 gallons (2 – 3 months) of clean, healthy, great-tasting water.",https://images-na.ssl-images-amazon.com/images/I/61fRqGhcaTL._SY450_.jpg,B0009CEKY6,3.8,"PUR 3-Stage Advanced Faucet Water Filter, 7.7-Inch by 3.2-Inch, Chrome",https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/dp/B0009CEKY6/ref=sr_1_4?ie=UTF8&qid=1498726227&sr=8-4&keywords=water+filter,water filter_#N/A_B0009CEKY6,$28.82,2017-06-28 00:00:00,3.0,We have a new remodeled kitchen and wanted to add a new water filter. None of the attachments worked. It may work great for you but not for me.,Didn't fit,https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/product-reviews/B0009CEKY6/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,water filter_#N/A_B0009CEKY6_Amazon Customer_29_143, , ,AM, 
 ,#N/A,water filter,"Color:Chrome
The improved next generation of PUR faucet water filter is at your service with the PUR Advanced Faucet Water Filter - Chrome FM-3700B. With 1-click installation, superior contaminant removal, and a Two-year warranty, there's never been an easier or more reliable way to get PUR water. Each PUR faucet water filter gives you up to 100 gallons (2 – 3 months) of clean, healthy, great-tasting water.",https://images-na.ssl-images-amazon.com/images/I/61fRqGhcaTL._SY450_.jpg,B0009CEKY6,3.8,"PUR 3-Stage Advanced Faucet Water Filter, 7.7-Inch by 3.2-Inch, Chrome",https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/dp/B0009CEKY6/ref=sr_1_4?ie=UTF8&qid=1498726227&sr=8-4&keywords=water+filter,water filter_#N/A_B0009CEKY6,$28.82,2017-06-28 00:00:00,5.0,Why didn't we get this sooner? Installation took literally minutes.,Five Stars,https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/product-reviews/B0009CEKY6/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,warewolff,water filter_#N/A_B0009CEKY6_warewolff_10_67, , ,AM, 
 ,#N/A,water filter,"Color:Chrome
The improved next generation of PUR faucet water filter is at your service with the PUR Advanced Faucet Water Filter - Chrome FM-3700B. With 1-click installation, superior contaminant removal, and a Two-year warranty, there's never been an easier or more reliable way to get PUR water. Each PUR faucet water filter gives you up to 100 gallons (2 – 3 months) of clean, healthy, great-tasting water.",https://images-na.ssl-images-amazon.com/images/I/61fRqGhcaTL._SY450_.jpg,B0009CEKY6,3.8,"PUR 3-Stage Advanced Faucet Water Filter, 7.7-Inch by 3.2-Inch, Chrome",https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/dp/B0009CEKY6/ref=sr_1_4?ie=UTF8&qid=1498726227&sr=8-4&keywords=water+filter,water filter_#N/A_B0009CEKY6,$28.82,2017-06-27 00:00:00,5.0,great,great,https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/product-reviews/B0009CEKY6/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,G-String MaFinal,water filter_#N/A_B0009CEKY6_G-String MaFinal_1_5, , ,AM, 
 ,#N/A,water filter,"Color:Chrome
The improved next generation of PUR faucet water filter is at your service with the PUR Advanced Faucet Water Filter - Chrome FM-3700B. With 1-click installation, superior contaminant removal, and a Two-year warranty, there's never been an easier or more reliable way to get PUR water. Each PUR faucet water filter gives you up to 100 gallons (2 – 3 months) of clean, healthy, great-tasting water.",https://images-na.ssl-images-amazon.com/images/I/61fRqGhcaTL._SY450_.jpg,B0009CEKY6,3.8,"PUR 3-Stage Advanced Faucet Water Filter, 7.7-Inch by 3.2-Inch, Chrome",https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/dp/B0009CEKY6/ref=sr_1_4?ie=UTF8&qid=1498726227&sr=8-4&keywords=water+filter,water filter_#N/A_B0009CEKY6,$28.82,2017-06-27 00:00:00,5.0,I have been using this a couple months now and I really like it. My water is filled with calcium and the water is super gross. With this filter it tastes great and I can save a bunch of money instead of spending it on bottles of water,Money saver and delicious water,https://www.amazon.com/PUR-3-Stage-Advanced-7-7-Inch-3-2-Inch/product-reviews/B0009CEKY6/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Mikel,water filter_#N/A_B0009CEKY6_Mikel_48_234, , ,AM, 
