driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiConfi,sentiment,siteCode,trigger
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1496215834&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-30 00:00:00,3.0,I wish I bought one with a timer,Three Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Lori Mattingly,Heater_Lasko_B000TKDQ5C_Lori Mattingly_8_32, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1496215834&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-29 00:00:00,4.0,works well,Four Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,JJani,Heater_Lasko_B000TKDQ5C_JJani_2_10, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1496215834&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-29 00:00:00,2.0,I Put it away- difficult to control heat. Did not like it.,I Put it away- difficult to control heat. Did not like it.,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Susan Damegreene,Heater_Lasko_B000TKDQ5C_Susan Damegreene_12_58, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1496215834&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-29 00:00:00,5.0,Was looking for a heater for my office and this one is great. It is small enough to fit under my desk. You can either turn the heater on for when it is cold or you can turn the fan on when it gets hot. Awesome!,Great product for the price!,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Brad S,Heater_Lasko_B000TKDQ5C_Brad S_46_210, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1496215834&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-28 00:00:00,4.0,"It heats up a small room and is perfect if you're just wanting to heat the bathroom before you shower. It does have a safety feature that I like and it's compact. But, it's not as economical as I thought it would be. And it doesn't do much for a larger room. If you get it for the purpose of heating a small room, you'll be very happy with it.",Heats Small Rooms Great!,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Sheila English,Heater_Lasko_B000TKDQ5C_Sheila English_70_343, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1496215834&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-28 00:00:00,5.0,it looks very well made. and i am sure it will do the job just fine,Five Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,mini,Heater_Lasko_B000TKDQ5C_mini_16_67, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1496215834&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-28 00:00:00,5.0,Compact yet packs a heat-punch,Five Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,NK,Heater_Lasko_B000TKDQ5C_NK_5_30, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1496215834&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-28 00:00:00,1.0,Quit working after using for 2 months. Junk!!!!,Stay away,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,Heater_Lasko_B000TKDQ5C_Amazon Customer_8_47, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1496215834&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-27 00:00:00,4.0,My dorm had little to no heat and it was in Minnesota winter. This kept me very warm through the whole winter. When it got too hot too the no heat fan feature helped alot,Super warm,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Valary d.,Heater_Lasko_B000TKDQ5C_Valary d._35_170, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1496215834&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-27 00:00:00,4.0,"nice little heater. Carrying handle could be a little more user friendly, uncomfortable carrying by handle",Four Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Ronald Meadows,Heater_Lasko_B000TKDQ5C_Ronald Meadows_16_106, , ,AM, 
 ,Lasko,Heater,"Style Name:5307
Product Description
Lasko 5307 Oscillating Ceramic Tower Heater is a 16-inch unit for a versatile size that’s perfect for floor or table use. It features high, low, and adjustable thermostat settings and Comfort Air Technology to propel warmth into rooms. The Lasko 5307 Oscillating Ceramic Tower Heater offers 1500 watts of quiet, comforting warmth, including a fan-only setting, and comes fully assembled. Has built in safety features and easy push-button oscillation as well! Comfort was never so close, safe, or affordable! Comfort Air Technology Propels Warmth into the Room, Adjustable Comfort-Control Thermostat, Push-Button Oscillation, Built-In Safety Features, Versatile Size for Table or Floor Use, 1500 Watts of Comforting Warmth, 3 Quiet Settings: High Heat, Low Heat, & Fan Only, Fully Assembled, 3-Year Limited Warranty, E.T.L. listed, 7.25″L x 6.13″W x 16.5″h

Brand Story
By Lasko",https://images-na.ssl-images-amazon.com/images/I/41db5OYA7dL._SY355_.jpg,B005M03ER4,"Lasko 5307 Oscillating Ceramic Tower Heater, 16-Inch",https://www.amazon.com/Lasko-5307-Oscillating-Ceramic-16-Inch/dp/B005M03ER4/ref=sr_1_4?ie=UTF8&qid=1496215834&sr=8-4&keywords=Heater,Heater_Lasko_B005M03ER4,#N/A,2017-05-30 00:00:00,4.0,"I'm a working artist with a studio in a tiny, cold, concrete garage. In the winter, it's unbearable to work without a heater. Not spending a lot of money was also a big priority for finding a heater. I was a bit sceptical when it first arrived - it looks cheap and has a plastic smell, and well, it's undeniably small. However, after 12 hours of leaving the Lasko on medium heat to warm up my studio, I was pleasantly surprised to find that it had heated the 650 sqft space enough that I took off my sweater (woooaaa). And it kept it warm overnight (I left it on low). The days when I came into a completely cold room, it took the Lasko about 45 min - 1 hour to heat up, which isn't bad in my book (especially during these cold Wisconsin winters).

If you're looking to stretch your dollar far and get warm for the least amount of money, this is a great buy. One star is deducted because if you knock the heater over it doesn't shut off. (This isn't a huge issue in the space I work in, but I would worry about it in a house).",Little Hot Pot 'o Gold,https://www.amazon.com/Lasko-5307-Oscillating-Ceramic-16-Inch/product-reviews/B005M03ER4/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,J. Ables,Heater_Lasko_B005M03ER4_J. Ables_201_1026, , ,AM, 
