driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiScore,sentiment,siteCode,trigger
 ,#N/A,smartphone,"Offer Type:Prime Exclusive - With Offers & Ads  |  Size:16 GB Storage + 2 GB RAM
Introducing R1 HD, the newest member of the BLU smartphone family. The new R1 HD promises performance, power, and style.",https://images-na.ssl-images-amazon.com/images/I/61PpEup8ZOL._SX425_.jpg,B01H2E0J5M,3.9,BLU R1 HD - 16 GB - Black - Prime Exclusive - with Lockscreen Offers & Ads,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/dp/B01H2E0J5M/ref=sr_1_2?s=wireless&ie=UTF8&qid=1498738329&sr=1-2&keywords=smartphone,smartphone_#N/A_B01H2E0J5M,$109.99,2017-06-29 00:00:00,5.0,Excelente puedo recomendarlo ampliamente.,BLU R1 HD - 16 GB,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/product-reviews/B01H2E0J5M/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Franklin Moreno Celis,smartphone_#N/A_B01H2E0J5M_Franklin Moreno Celis_4_41, , ,AM, 
 ,#N/A,smartphone,"Offer Type:Prime Exclusive - With Offers & Ads  |  Size:16 GB Storage + 2 GB RAM
Introducing R1 HD, the newest member of the BLU smartphone family. The new R1 HD promises performance, power, and style.",https://images-na.ssl-images-amazon.com/images/I/61PpEup8ZOL._SX425_.jpg,B01H2E0J5M,3.9,BLU R1 HD - 16 GB - Black - Prime Exclusive - with Lockscreen Offers & Ads,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/dp/B01H2E0J5M/ref=sr_1_2?s=wireless&ie=UTF8&qid=1498738329&sr=1-2&keywords=smartphone,smartphone_#N/A_B01H2E0J5M,$109.99,2017-06-28 00:00:00,5.0,"This is an amazing phone for the price. I have all the apps I could ever want thanks to the 16gb of storage, it takes amazing photos (even has a front flash for selfies!) And unlocked and ready to go! So happy with my purchase.",Great phone for the price!,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/product-reviews/B01H2E0J5M/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,K. Torres,smartphone_#N/A_B01H2E0J5M_K. Torres_45_227, , ,AM, 
 ,#N/A,smartphone,"Offer Type:Prime Exclusive - With Offers & Ads  |  Size:16 GB Storage + 2 GB RAM
Introducing R1 HD, the newest member of the BLU smartphone family. The new R1 HD promises performance, power, and style.",https://images-na.ssl-images-amazon.com/images/I/61PpEup8ZOL._SX425_.jpg,B01H2E0J5M,3.9,BLU R1 HD - 16 GB - Black - Prime Exclusive - with Lockscreen Offers & Ads,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/dp/B01H2E0J5M/ref=sr_1_2?s=wireless&ie=UTF8&qid=1498738329&sr=1-2&keywords=smartphone,smartphone_#N/A_B01H2E0J5M,$109.99,2017-06-28 00:00:00,1.0,"Phone kept turning off every time a phone call was received. It would randomly bring the screen back on during phone call so that my ear would activate the mute button. The music would sometimes not mute during phone call. It would turn itself on in my pocket. Battery drains quickly. Screen is fairly dim. I could go on and on. You get the picture. A lousy phone, a lousy media player.",Just awful,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/product-reviews/B01H2E0J5M/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Ray from PA,smartphone_#N/A_B01H2E0J5M_Ray from PA_72_386, , ,AM, 
 ,#N/A,smartphone,"Offer Type:Prime Exclusive - With Offers & Ads  |  Size:16 GB Storage + 2 GB RAM
Introducing R1 HD, the newest member of the BLU smartphone family. The new R1 HD promises performance, power, and style.",https://images-na.ssl-images-amazon.com/images/I/61PpEup8ZOL._SX425_.jpg,B01H2E0J5M,3.9,BLU R1 HD - 16 GB - Black - Prime Exclusive - with Lockscreen Offers & Ads,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/dp/B01H2E0J5M/ref=sr_1_2?s=wireless&ie=UTF8&qid=1498738329&sr=1-2&keywords=smartphone,smartphone_#N/A_B01H2E0J5M,$109.99,2017-06-28 00:00:00,5.0,GREAT PHONE FOR NOT A HUGE PRICE. WORKS GREAT,Great Priced Phone,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/product-reviews/B01H2E0J5M/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,smartphone_#N/A_B01H2E0J5M_Amazon Customer_9_45, , ,AM, 
 ,#N/A,smartphone,"Offer Type:Prime Exclusive - With Offers & Ads  |  Size:16 GB Storage + 2 GB RAM
Introducing R1 HD, the newest member of the BLU smartphone family. The new R1 HD promises performance, power, and style.",https://images-na.ssl-images-amazon.com/images/I/61PpEup8ZOL._SX425_.jpg,B01H2E0J5M,3.9,BLU R1 HD - 16 GB - Black - Prime Exclusive - with Lockscreen Offers & Ads,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/dp/B01H2E0J5M/ref=sr_1_2?s=wireless&ie=UTF8&qid=1498738329&sr=1-2&keywords=smartphone,smartphone_#N/A_B01H2E0J5M,$109.99,2017-06-28 00:00:00,1.0,purchased this phone on June 12 2017. The phone just reboots on its own. Today it rebooted and for over 1 hour is still on the blu flash screen.,Disappointed,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/product-reviews/B01H2E0J5M/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,SweetgirlC,smartphone_#N/A_B01H2E0J5M_SweetgirlC_29_144, , ,AM, 
 ,#N/A,smartphone,"Offer Type:Prime Exclusive - With Offers & Ads  |  Size:16 GB Storage + 2 GB RAM
Introducing R1 HD, the newest member of the BLU smartphone family. The new R1 HD promises performance, power, and style.",https://images-na.ssl-images-amazon.com/images/I/61PpEup8ZOL._SX425_.jpg,B01H2E0J5M,3.9,BLU R1 HD - 16 GB - Black - Prime Exclusive - with Lockscreen Offers & Ads,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/dp/B01H2E0J5M/ref=sr_1_2?s=wireless&ie=UTF8&qid=1498738329&sr=1-2&keywords=smartphone,smartphone_#N/A_B01H2E0J5M,$109.99,2017-06-28 00:00:00,1.0,"The phone itself it's not too bad for the price, but not yet 6 months old and the Bluetooth connection ability is gone.",Bluetooth fails within 6 months,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/product-reviews/B01H2E0J5M/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Jack Southwick,smartphone_#N/A_B01H2E0J5M_Jack Southwick_23_119, , ,AM, 
 ,#N/A,smartphone,"Offer Type:Prime Exclusive - With Offers & Ads  |  Size:16 GB Storage + 2 GB RAM
Introducing R1 HD, the newest member of the BLU smartphone family. The new R1 HD promises performance, power, and style.",https://images-na.ssl-images-amazon.com/images/I/61PpEup8ZOL._SX425_.jpg,B01H2E0J5M,3.9,BLU R1 HD - 16 GB - Black - Prime Exclusive - with Lockscreen Offers & Ads,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/dp/B01H2E0J5M/ref=sr_1_2?s=wireless&ie=UTF8&qid=1498738329&sr=1-2&keywords=smartphone,smartphone_#N/A_B01H2E0J5M,$109.99,2017-06-28 00:00:00,5.0,"I bought these products for my girlfriend's birthday and she and I both were pleasantly surprised!So far I have been very fond of it, will recommend to me around the needs of people. I purchased an addition two sets after receiving my original order. Will definitely buy several more sets in the future! Price was great and so was the product. There's better out there They are much prettier than I expected.",Easy to work with. Came packaged nice. Highly recommend.,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/product-reviews/B01H2E0J5M/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Peters,smartphone_#N/A_B01H2E0J5M_Peters_72_408, , ,AM, 
 ,#N/A,smartphone,"Offer Type:Prime Exclusive - With Offers & Ads  |  Size:16 GB Storage + 2 GB RAM
Introducing R1 HD, the newest member of the BLU smartphone family. The new R1 HD promises performance, power, and style.",https://images-na.ssl-images-amazon.com/images/I/61PpEup8ZOL._SX425_.jpg,B01H2E0J5M,3.9,BLU R1 HD - 16 GB - Black - Prime Exclusive - with Lockscreen Offers & Ads,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/dp/B01H2E0J5M/ref=sr_1_2?s=wireless&ie=UTF8&qid=1498738329&sr=1-2&keywords=smartphone,smartphone_#N/A_B01H2E0J5M,$109.99,2017-06-28 00:00:00,5.0,"I bought this phone for my young daughter - And It's a great value for It's price!
Highly recommended!",... phone for my young daughter - And It's a great value for It's price,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/product-reviews/B01H2E0J5M/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Oren S.,smartphone_#N/A_B01H2E0J5M_Oren S._18_102, , ,AM, 
 ,#N/A,smartphone,"Offer Type:Prime Exclusive - With Offers & Ads  |  Size:16 GB Storage + 2 GB RAM
Introducing R1 HD, the newest member of the BLU smartphone family. The new R1 HD promises performance, power, and style.",https://images-na.ssl-images-amazon.com/images/I/61PpEup8ZOL._SX425_.jpg,B01H2E0J5M,3.9,BLU R1 HD - 16 GB - Black - Prime Exclusive - with Lockscreen Offers & Ads,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/dp/B01H2E0J5M/ref=sr_1_2?s=wireless&ie=UTF8&qid=1498738329&sr=1-2&keywords=smartphone,smartphone_#N/A_B01H2E0J5M,$109.99,2017-06-28 00:00:00,3.0,regular use,Three Stars,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/product-reviews/B01H2E0J5M/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Luis Felipe,smartphone_#N/A_B01H2E0J5M_Luis Felipe_2_11, , ,AM, 
 ,#N/A,smartphone,"Offer Type:Prime Exclusive - With Offers & Ads  |  Size:16 GB Storage + 2 GB RAM
Introducing R1 HD, the newest member of the BLU smartphone family. The new R1 HD promises performance, power, and style.",https://images-na.ssl-images-amazon.com/images/I/61PpEup8ZOL._SX425_.jpg,B01H2E0J5M,3.9,BLU R1 HD - 16 GB - Black - Prime Exclusive - with Lockscreen Offers & Ads,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/dp/B01H2E0J5M/ref=sr_1_2?s=wireless&ie=UTF8&qid=1498738329&sr=1-2&keywords=smartphone,smartphone_#N/A_B01H2E0J5M,$109.99,2017-06-28 00:00:00,1.0,The phone is not working! I need my money back!,One Star,https://www.amazon.com/BLU-R1-HD-Exclusive-Lockscreen/product-reviews/B01H2E0J5M/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,smartphone_#N/A_B01H2E0J5M_Amazon Customer_10_47, , ,AM, 
