pBrand,pCategory,pModel,pTitle,pURL,price,rDate,rRating,rText,rTitle,rURL,rUser,siteCode
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,23-Aug-16," 4.1
 out of
 5
"," I bought this as a brand-new unit and had it delivered but not installed. When I went to roll it into place a screw on the underside that was installed at the wrong angle and not completely tightened down scratched up my floors. Upon further inspection my ""brand new"" unit had dents on the top, the top two fridge door bracket screw holes were stripped and had helicoils installed(badly) to try and fix them, then the new screw was cross-threaded into the helicoil. So either Frigidaire or Home Depot sold me a damaged, badly-repaired fridge as new. I've now lost a half-day of work getting their tech to come out and confirm the defects. I'll lose another half-day getting this thing picked up. And I'm having to go through Frigidaire's claim department to get my damaged floor fixed.","Multiple defects, clearly a repaired fridge sold as new, it caused damage to my house",http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,Pixel,HD
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,12-Feb-17," 4.1
 out of
 5
","I replaced this fridgfridgwith a ge i boughtin 1995 and the new one
Ismade so cheaP plastic and
Nowhere
To put ice trays",Cheaply made,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,J0,HD
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,4-Feb-17," 4.1
 out of
 5
",I bought this fridge to replace the old one. It has a pretty good size for food storage and convenient pull out shelves. My wife loves it and I'm happy.,I bought this fridge to replace the old one. It has a pretty good size for food storage and conve...,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,adogom,HD
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,26-Jan-17," 4.1
 out of
 5
","We are pleased with the product, it is spacious and simple. We have had it for 2 weeks now and it is used at work to hold our lunch items for a staff of about 20 people.","We are pleased with the product, it is spacious and simple. We have had it for 2 weeks now and it...",http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,LoriRath,HD
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,27-Dec-16," 4.1
 out of
 5
","This is a second fridge for the basement. Quality is good enough though small. Would prefer larger but doors are too small to move in. The sides of the unit had dents/ripples in material. Even a slight bulge at what I assume is the compressor. When I mentioned it to delivery person, he said all the refrigerators looked that way and he gets that comment a lot. If that's true, then you may not want this unit in highly visible area of your home. For the basement, I'll accept it but not really happy with quality of exterior of unit.",This is a second fridge for the basement. Quality is good enough though small. Would prefer lar...,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,ChiRay,HD
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,15-Jan-17," 4.1
 out of
 5
",The best thing about this refrigerator is that it is quiet. I had to get rid of my 6 month old Kenmore 18' refrigerator because the noise was driving me crazy. I went back to Frigidaire and am very happy with my purchase.,The best thing about this refrigerator is that it is quiet. I had to get rid of my 6 month old K...,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,vincent777,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,19-Jan-17," 3.7
 out of
 5
","I like the size. Not as small as a dorm refrigerator, but adequate for use for a bar and holiday food storage when entertaining. I only have had it a short while, so cannot comment on durability. It seems to be functioning well in terms of cooling. So far, it meets my expectations.","I like the size. Not as small as a dorm refrigerator, but adequate for use for a bar and holiday...",http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,Cera,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,13-Jan-17," 3.7
 out of
 5
",I purchased this refrigerator about 11 years ago from Hone Depot. It is still working today never needing repair. I tip my hat to Magic Chef for putting out a quality product.,I purchased this refrigerator about 11 years ago from Hone Depot. It is still working today never...,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,JK61,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,12-Nov-16," 3.7
 out of
 5
"," Bought this 9.9 frig/freezer on 7/24/16. Installed same day. Worked MAYBE 2 months. Started having trouble &amp; started looking for my receipt in October. Freezer froze repeatedly hard, couldn't defrost. Refrigerator part wouldn't cool down. Unplugged, let it rest &amp; tried again. No luck several times. Went to Home Depot today with receipt found &amp; they said I had to call the manufacturer. The checkout person never asked if I wanted add'l warranty NOR mentioned 90 day return policy. My time was up 10/22 and today is 11/12. Extremely poor customer service considering I've supported Home Depot &amp; purchased many items from them. Never an appliance again. Work knowledge of employees in appliances &amp; checkout? Minimal.",Bought this 9.9 frig/freezer on 7/24/16. Installed same day. Worked MAYBE 2 months. Started ha...,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,txfox,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,1-Mar-17," 3.7
 out of
 5
"," This refrigerator has some design flaw that makes it defective. It is constantly frosting over in the freezer to the point that you can't see what's inside, humming loudly (extremely loudly), and not cooling in the actual fridge area so all our food spoils again and again. After a lengthy back and forth with Magic Chef they basically told us that even though the fridge was still under warranty they would be unable to repair it so it was on us to truck it back to home depot and get a new one. We borrowed a truck with two feet of snow on the ground and wrestled the new one home and within a week now the same thing has happened. This is a poorly made machine and I am frustrated and angry that it is defective and the neither Home Depot or Magic Chef will take responsibility for it. Extra annoying is that we are stuck with these small fridges until remodeling our kitchen or i would just buy a real fridge from a reputable company and be done with it. All i can say is save yourself the trouble, don't buy this item.",This refrigerator has some design flaw that makes it defective. It is constantly frosting over in...,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,Erika,HD
