n_gram,food,food_sec,food_pri,food_Light/trad,food_wholesome/salty snacks,food_packaged/nonpackaged,products,products_pri,brand,emotion,emotion_sec,emotion_pri,location,location_pri,companion,companion_sec,companion_pri,tod,tod_pri,technical,technical_pri,functional,functional_pri,activity,activity_pri,beverage,beverage_sec,beverage_pri 
gomitas,gomitas,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
good,,,,,,,,,,good,happy,feel good,,,,,,,,,,,,,,,,
good aroma,,,,,,,,,,,,,,,,,,,,,,good aroma,aroma,,,,,
good before night,,,,,,,,,,,,,,,,,,,,,,good before night,good before night,,,,,
good for my body,,,,,,,,,,,,,,,,,,,,,,good for my body,good for my body,,,,,
good for my brain,,,,,,,,,,,,,,,,,,,,,,good for my body,good for my body,,,,,
good for sharing,,,,,,,,,,,,,,,,,,,,,,good for sharing,social,,,,,
good smell,,,,,,,,,,,,,,,,,,,,,,good smell,aroma,,,,,
good start,,,,,,,,,,,,,,,,,,,,,,good start,kickstart,,,,,
good texture / aroma,,,,,,,,,,,,,,,,,,,,,,good texture / aroma,texture,,,,,
good to graze on,,,,,,,,,,,,,,,,,,,,,,good to graze on,good to graze on,,,,,
good to serve,,,,,,,,,,,,,,,,,,,,,,good to serve,good to serve,,,,,
good to share,,,,,,,,,,,,,,,,,,,,,,good to share,social,,,,,
good value,,,,,,,,,,,,,,,,,,,,,,good value,good value,,,,,
good with food,,,,,,,,,,,,,,,,,,,,,,good with food,good with food,,,,,
goodstart,,,,,,,,,,,,,,,,,,,,,,goodstart,kickstart,,,,,
goose,goose,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
gorditas,gorditas,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
gorp,gorp,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
goujons,goujons,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
graham cracker,graham cracker,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
grain,grain,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
gran cookie zero acucar castanha do para,,,,,,,gran cookie zero acucar castanha do para,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
gran cookies aveia nuts,,,,,,,gran cookies aveia + nuts,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
gran cookies integral aveia berries,,,,,,,gran cookies integral aveia + berries,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
gran cookies sem gluten acai e chia,,,,,,,gran cookies sem gluten acai e chia,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
gran cookies sem gluten cacau e cereais,,,,,,,gran cookies sem gluten cacau e cereais,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
gran cookies zero acucar alfarroba,,,,,,,gran cookies zero acucar alfarroba,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granddad,,,,,,,,,,,,,,,granddad,family,small group,,,,,,,,,,,
granddaughter,,,,,,,,,,,,,,,granddaughter,family,small group,,,,,,,,,,,
grandfather,,,,,,,,,,,,,,,grandfather,family,small group,,,,,,,,,,,
grandma,,,,,,,,,,,,,,,grandma,family,small group,,,,,,,,,,,
grandmother,,,,,,,,,,,,,,,grandmother,family,small group,,,,,,,,,,,
grandpa,,,,,,,,,,,,,,,grandpa,family,small group,,,,,,,,,,,
grandparents,,,,,,,,,,,,,,,grandparents,family,small group,,,,,,,,,,,
grandson,,,,,,,,,,,,,,,grandson,family,small group,,,,,,,,,,,
granny,,,,,,,,,,,,,,,granny,family,small group,,,,,,,,,,,
granola,granola,cereal,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
granola banana e mel,,,,,,,granola banana e mel,granolas,kobber,,,,,,,,,,,,,,,,,,,
granola bar,granola bar,bars,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
granola cacau natural light,,,,,,,granola cacau natural light,granolas,kobber,,,,,,,,,,,,,,,,,,,
granola integral banana e canela,,,,,,,granola integral banana e canela,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granola integral cereais maltados,,,,,,,granola integral cereais maltados,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granola integral maca e canela,,,,,,,granola integral maca e canela,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granola integral mel e frutas,,,,,,,granola integral mel e frutas,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granola integral tradicional,,,,,,,granola integral tradicional,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granola light,,,,,,,granola light,granolas,kobber,,,,,,,,,,,,,,,,,,,
granola maca & canela light,,,,,,,granola maca & canela light,granolas,kobber,,,,,,,,,,,,,,,,,,,
granola organica castanha do para,,,,,,,granola organica castanha do para,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granola organica chocolate e coco,,,,,,,granola organica chocolate e coco,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granola sem gluten castanha e cacau,,,,,,,granola sem gluten castanha e cacau,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granola sem gluten cranberries e acai,,,,,,,granola sem gluten cranberries e acai,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granola tradicional,,,,,,,granola tradicional,granolas,kobber,,,,,,,,,,,,,,,,,,,
granola tropical light,,,,,,,granola tropical light,granolas,kobber,,,,,,,,,,,,,,,,,,,
granola zero,,,,,,,granola zero,granolas,kobber,,,,,,,,,,,,,,,,,,,
granola zero acucar frutas tropicais,,,,,,,granola zero acucar frutas tropicais,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
granola zero acucar superfrutas,,,,,,,granola zero acucar superfrutas,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
grape,grape,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,grape,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
grapefruit,grapefruit,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
grape fruit,grapefruit,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
grasshopper,grasshopper,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
gratitude,,,,,,,,,,gratitude,affection/longing,positive,,,,,,,,,,,,,,,,
gravy,gravy,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
grazing,,,,,,,,,,,,,,,,,,,,,,grazing,grazing,,,,,
great,,,,,,,,,,great,superlative,positive,,,,,,,,,,,,,,,,
green bean,green beans,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
green beans,green beans,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
green tea,,,,,,,,,,,,,,,,,,,,,,,,,,green tea,tea,non alcoholic
grilled,,,,,,,,,,,,,,,,,,,,grilled,textures,,,,,,,
group,,,,,,,,,,,,,,,group,friends,large group,,,,,,,,,,,
grow closer,,,,,,,,,,grow closer,affection/longing,positive,,,,,,,,,,,,,,,,
guacamole,guacamole,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
guarana,,,,,,,,,,,,,,,,,,,,,,,,,,guarana,mocktails,non alcoholic
guava,guava,fruits,fruits,,,,,,,,,,,,,,,,,,,,,,,,,
guests,,,,,,,,,,,,,,,guests,friends,small group,,,,,,,,,,,
guilt,,,,,,,,,,guilt,guilt,guilt,,,,,,,,,,,,,,,,
guisados,guisados,traditional dishes,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
gummie,gummie,candy/chocolate,candy/chocolate,light food,sweet snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
guys,,,,,,,,,,,,,,,guys,friends,large group,,,,,,,,,,,
gym,,,,,,,,,,,,,gym,outside,,,,,,,,,,,,,,
habanero,habanero,traditional dishes,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
habit,,,,,,,,,,,,,,,,,,,,,,habit,routine,,,,,
habitual,,,,,,,,,,,,,,,,,,,,,,habitual,routine,,,,,
halloween punch,,,,,,,,,,,,,,,,,,,,,,,,,,halloween punch,cocktails,alcoholic
ham,ham,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
ham roll,ham roll,light food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
hanging,,,,,,,,,,,,,,,,,,,,,,,,hanging,social activities,,,
hanging out,,,,,,,,,,,,,,,,,,,,,,,,hanging out,social activities,,,
happiness,,,,,,,,,,happiness,happy,feel good,,,,,,,,,,,,,,,,
happy,,,,,,,,,,happy,happy,feel good,,,,,,,,,,,,,,,,
happyness,,,,,,,,,,happyness,happy,feel good,,,,,,,,,,,,,,,,
harass,,,,,,,,,,harass,dislike,negative,,,,,,,,,,,,,,,,
hardwork,,,,,,,,,,hardwork,hardwork,hardwork,,,,,,,,,,,,,,,,
harmony,,,,,,,,,,harmony,laid back,feel good,,,,,,,,,,,,,,,,
hate,,,,,,,,,,hate,dislike,negative,,,,,,,,,,,,,,,,
hatred,,,,,,,,,,hatred,dislike,negative,,,,,,,,,,,,,,,,
hazelnut,hazelnut,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
health,,,,,,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
health & natural,,,,,,,,,,,,,,,,,,,,,,health & natural,health & nutrition,,,,,
health & nutrition,,,,,,,,,,,,,,,,,,,,,,health & nutrition,health & nutrition,,,,,
health and immunity,,,,,,,,,,,,,,,,,,,,,,health and immunity,health & nutrition,,,,,
health and nutrition,,,,,,,,,,,,,,,,,,,,,,health and nutrition,health & nutrition,,,,,
health benefits,,,,,,,,,,,,,,,,,,,,,,health benefits,health & nutrition,,,,,
healthier,,,,,,,,,,,,,,,,,,,,healthy,nutritional,,,,,,,
healthiest,,,,,,,,,,,,,,,,,,,,healthy,nutritional,,,,,,,
healthy,,,,,,,,,,,,,,,,,,,,healthy,nutritional,,,,,,,
healthy choice,,,,,,,,,,,,,,,,,,,,,,healthy choice,health & nutrition,,,,,
hectic,,,,,,,,,,hectic,hectic,negative,,,,,,,,,,,,,,,,
helado,helado,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
helps manage weight,,,,,,,,,,,,,,,,,,,,,,helps manage weight,weight management,,,,,
helps mental performance,,,,,,,,,,,,,,,,,,,,,,helps mental performance,helps mental performance,,,,,
helps my body / performance vs. tasty,,,,,,,,,,,,,,,,,,,,,,helps my body / performance vs. tasty,helps my body / performance vs. tasty,,,,,
helps my body vs. tasty and indulgent,,,,,,,,,,,,,,,,,,,,,,helps my body vs. tasty and indulgent,helps my body vs. tasty and indulgent,,,,,
hemp seeds,hemp seeds,nuts/seeds,wholesome snacks,light food,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
herb,herb,veggies,natural,,,,,,,,,,,,,,,,,,,,,,,,,
herbal,,,,,,,,,,,,,,,,,,,,herbal,nutritional,,,,,,,
hersheys,hersheys,wholesome snacks,light food,light food,salty snacks,packaged food,hersheys,hersheys,hersheys,,,,,,,,,,,portable,portable,rte,rte,,,,,
high fiber,,,,,,,,,,,,,,,,,,,,high fiber,nutritional,,,,,,,
high fibre,,,,,,,,,,,,,,,,,,,,high fiber,nutritional,,,,,,,
highway,,,,,,,,,,,,,highway,on the way,,,,,,,,,,,,,,
hoisin,hoisin,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
hojaldres,hojaldres,wholesome snacks,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
hollandaise,hollandaise,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
home,,,,,,,,,,,,,home,home,,,,,,,,,,,,,,
homemade,,,,,,,,,,,,,,,,,,,,homemade,nutritional,,,,,,,
homies,,,,,,,,,,,,,,,homies,friends,small group,,,,,,,,,,,
hommous,hommous,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
hommus,hommus,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
honey,honey,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
honey bars,honey bars,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
honey mustard,honey mustard,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
honeymustard,honey mustard,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
honor,,,,,,,,,,honor,superlative,positive,,,,,,,,,,,,,,,,
hope,,,,,,,,,,hope,anxiety/curiosity,positive,,,,,,,,,,,,,,,,
horchata,,,,,,,,,,,,,,,,,,,,,,,,,,horchata,mocktails,non alcoholic
horrific,,,,,,,,,,horrific,dislike,negative,,,,,,,,,,,,,,,,
horror,,,,,,,,,,horror,dislike,negative,,,,,,,,,,,,,,,,
horseradish,horseradish,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
hostia,hostia,breads,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
hot,,,,,,,,,,,,,,,,,,,,hot,properties,,,,,,,
hot chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,hot chocolate,chocolated based drink,non alcoholic
hot cocoa,,,,,,,,,,,,,,,,,,,,,,,,,,hot cocoa,chocolated based drink,non alcoholic
hot dog,hot dog,street food,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
hot sauce,hot sauce,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
hot chips,hotchip,hotchip,salty snacks,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
hotchips,hotchip,hotchip,salty snacks,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
hotchip,hotchip,hotchip,salty snacks,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
hotdog,hot dog,street food,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
hotdog stand,,,,,,,,,,,,,hotdog stand,coffee shops/bakery/eatery,,,,,,,,,,,,,,
hotel,,,,,,,,,,,,,hotel,coffee shops/bakery/eatery,,,,,,,,,,,,,,
hotsauce,hot sauce,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
hotwing,hotwing,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
houmous,houmous,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,house,home,,,,,,,,,,,,,,
huevos divorciados,huevos divorciados,traditional dishes,heavy meal,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
huevos rancheros,huevos rancheros,traditional dishes,heavy meal,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
hummas,hummas,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
hummus,hummus,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
humous,humous,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
humus,humus,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
hunger fill,,,,,,,,,,,,,,,,,,,,,,hunger fill,hunger,,,,,
replace meal,,,,,,,,,,,,,,,,,,,,,,replace meal,hunger,,,,,
hunger satisfaction,,,,,,,,,,,,,,,,,,,,,,hunger satisfaction,hunger,,,,,
hungry,,,,,,,,,,,,,,,,,,,,,,hungry,hunger,,,,,
husband,,,,,,,,,,,,,,,husband,romantic partner,pair,,,,,,,,,,,
husbands,,,,,,,,,,,,,,,husbands,romantic partner,pair,,,,,,,,,,,
hydrate,,,,,,,,,,,,,,,,,,,,,,hydrate,hydration,,,,,
hydrating,,,,,,,,,,,,,,,,,,,,,,hydrate,hydration,,,,,
hydration,,,,,,,,,,,,,,,,,,,,,,hydrate,hydration,,,,,
ice cream,ice cream,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
ice tea,,,,,,,,,,,,,,,,,,,,,,,,,,iced tea,tea,non alcoholic
iced tea,,,,,,,,,,,,,,,,,,,,,,,,,,iced tea,tea,non alcoholic
icetea,,,,,,,,,,,,,,,,,,,,,,,,,,iced tea,tea,non alcoholic
immune,,,,,,,,,,,,,,,,,,,,immune,nutritional,,,,,,,
immunity,,,,,,,,,,,,,,,,,,,,,,immunity,health & nutrition,,,,,
impressed,,,,,,,,,,impressed,satisfied,feel good,,,,,,,,,,,,,,,,
improve health/performance,,,,,,,,,,,,,,,,,,,,,,improve health/performance,health & nutrition,,,,,
improve mental performance,,,,,,,,,,,,,,,,,,,,,,improve mental performance,improve mental performance,,,,,
improve performance,,,,,,,,,,,,,,,,,,,,,,improve performance,improve performance,,,,,
improves metabolism and inner balance,,,,,,,,,,,,,,,,,,,,,,improves metabolism and inner balance,improves metabolism and inner balance,,,,,
in doubt,,,,,,,,,,in doubt,concern/confused,confused,,,,,,,,,,,,,,,,
indulgent,,,,,,,,,,,,,,,,,,,,,,indulgent,indulgent,,,,,
indulgent grazing,,,,,,,,,,,,,,,,,,,,,,indulgent grazing,indulgent grazing,,,,,
inspiration,,,,,,,,,,inspiration,superlative,positive,,,,,,,,,,,,,,,,
inspired,,,,,,,,,,inspiration,superlative,positive,,,,,,,,,,,,,,,,
intense flavor,,,,,,,,,,,,,,,,,,,,,,intense flavor,intense flavor,,,,,
invigorate,,,,,,,,,,,,,,,,,,,,,,invigorate replenish and recover,energize,,,,,
invigorate and replenish,,,,,,,,,,,,,,,,,,,,,,invigorate and replenish,energize,,,,,
iogurte,iogurte,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
iron,,,,,,,,,,,,,,,,,,,,iron,nutritional,,,,,,,
jacker,jacker,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
jail,,,,,,,,,,,,,jail,outside,,,,,,,,,,,,,,
jalapeno,jalapeno,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
jam,jam,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
jelly,jelly,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
jicama con frutas,jicama con frutas,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
joelho,joelho,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
jogging,,,,,,,,,,,,,,,,,,,,,,,,jogging,physical activity,,,
joint,,,,,,,,,,,,,joint,coffee shops/bakery/eatery,,,,,,,,,,,,,,
joking,,,,,,,,,,joking,happy,feel good,,,,,,,,,,,,,,,,
joy,,,,,,,,,,joy,happy,feel good,,,,,,,,,,,,,,,,
joyful,,,,,,,,,,joy,happy,feel good,,,,,,,,,,,,,,,,
joyous,,,,,,,,,,joy,happy,feel good,,,,,,,,,,,,,,,,
juice,,,,,,,,,,,,,,,,,,,,,,,,,,juices,juices,non alcoholic
juices,,,,,,,,,,,,,,,,,,,,,,,,,,juices,juices,non alcoholic
juicier,,,,,,,,,,,,,,,,,,,,juicy,textures,,,,,,,
juicy,,,,,,,,,,,,,,,,,,,,juicy,textures,,,,,,,
jungle juice,,,,,,,,,,,,,,,,,,,,,,,,,,jungle juice,cocktails,alcoholic
junk food,junkfood,street food,street food,,,,,,,,,,,,,,,,,,,,,,,,,
junkfood,junkfood,street food,street food,,,,,,,,,,,,,,,,,,,,,,,,,
kale,kale,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
karaoke,,,,,,,,,,,,,karaoke,outside,,,,,,,,,,,,,,
keeps me going,,,,,,,,,,,,,,,,,,,,,,keeps me going,energize,,,,,
kellness granola traditional,,,,,,,kellness granola traditional,kellness,kelloggs,,,,,,,,,,,,,,,,,,,
kellness muslix chocolate,,,,,,,kellness muslix chocolate,kellness,kelloggs,,,,,,,,,,,,,,,,,,,
kellness muslix traditional,,,,,,,kellness muslix traditional,kellness,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs apple jacks cereal,cereal,cereal,light food,light food,wholesome snacks,packaged food,kelloggs apple jacks cereal,kelloggs apple jacks cereal,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs bran flakes,,,,,,,kelloggs bran flakes,kelloggs bran flakes,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs crunchy nut,,,,,,,kelloggs crunchy nut,kelloggs crunchy nut,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs extra blueberries,,,,,,,kelloggs extra blueberries,extra,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs extra chocolate,,,,,,,kelloggs extra chocolate,extra,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs frosted flakes,,,,,,,kelloggs frosted flakes,kelloggs frosted flakes,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs frosties snack bar,,,,,,,kelloggs frosties snack bar,kelloggs frosties snack bar,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs fruit bites,,,,,,,kelloggs fruit bites,kelloggs frosties snack bar,kelloggs,,,,,,,,,,,portable,portable,rte,rte,,,,,
kelloggs fruity snacks cherry,,,,,,,kelloggs fruity snacks cherry,kelloggs fruity snacks cherry,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs granola ancestral grains amaranth flaxseed and cranberry,,,,,,,kelloggs granola ancestral grains amaranth flaxseed and cranberry,granola,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs granola ancestral grains quinoa amaranth and apple,,,,,,,kelloggs granola ancestral grains quinoa amaranth and apple,granola,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs granola ancestral grains sunflower amaranth and raisin seeds,,,,,,,kelloggs granola ancestral grains sunflower amaranth and raisin seeds,granola,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs granola coconut granola raisins and honey,,,,,,,kelloggs granola coconut granola raisins and honey,granola,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs krunchy granola apple cinnamon,,,,,,,kelloggs krunchy granola apple cinnamon,krunchy granola,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs krunchy granola oats and chocolate,,,,,,,kelloggs krunchy granola oats and chocolate,krunchy granola,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs krunchy granola oats and honey,,,,,,,kelloggs krunchy granola oats and honey,krunchy granola,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs mariokart,,,,,,,kelloggs mariokart,kelloggs mariokart,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs muesli,,,,,,,kelloggs muesli,kelloggs muesli,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs nuts,kelloggs nuts,wholesome snacks,light food,light food,wholesome snacks,packaged food,kelloggs nuts,kelloggs nuts,kelloggs,,,,,,,,,,,portable,portable,rte,rte,,,,,
kelloggs vector,,,,,,,kelloggs vector,kelloggs vector,kelloggs,,,,,,,,,,,,,,,,,,,
kelloggs zucaritas,,,,,,,kelloggs zucaritas,zucaritas,kelloggs,,,,,,,,,,,,,,,,,,,
kellogs protein bar,protein bar ,wholesome snacks,light food,light food,wholesome snacks,packaged food,kellogs protein bar,kellogs protein bar,kelloggs,,,,,,,,,,,,,,,,,,,
kellogs raisin bran,,,,,,,kellogs raisin bran,kellogs raisin bran,kelloggs,,,,,,,,,,,,,,,,,,,
ketchup,ketchup,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
kettle,,,,,,,,,,,,,,,,,,,,portable,portable,,,,,,,
kibe,kibe,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
kick start,,,,,,,,,,,,,,,,,,,,,,kickstart,kickstart,,,,,
kickstart,,,,,,,,,,,,,,,,,,,,,,kickstart,kickstart,,,,,
kickstarting,,,,,,,,,,,,,,,,,,,,,,kickstart,kickstart,,,,,
kid,,,,,,,,,,,,,,,kids,family,small group,,,,,,,,,,,
kids,,,,,,,,,,,,,,,kids,family,small group,,,,,,,,,,,
kill time,,,,,,,,,,,,,,,,,,,,,,kill time,kill time,,,,,
kir,,,,,,,,,,,,,,,,,,,,,,,,,,kir,juices,non alcoholic
kitchen,,,,,,,,,,,,,kitchen,home,,,,,,,,,,,,,,
kiwi,kiwi,fruits,fruits,,,,,,,,,,,,,,,,,,,,,,,,,
kobber,kobber,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
kobby chocolaser,,,,,,,kobby chocolaser,kobby,kobber,,,,,,,,,,,,,,,,,,,
kobby flash light,,,,,,,kobby flash light,kobby,kobber,,,,,,,,,,,,,,,,,,,
kobby meteoro de morango,,,,,,,kobby meteoro de morango,kobby,kobber,,,,,,,,,,,,,,,,,,,
kobby tempestade de neve,,,,,,,kobby tempestade de neve,kobby,kobber,,,,,,,,,,,,,,,,,,,
krunchy granola,krunchy granola,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
la plancha,la plancha,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
ladies,,,,,,,,,,,,,,,ladies,people,large group,,,,,,,,,,,
lake,,,,,,,,,,,,,lake,outside,,,,,,,,,,,,,,
lamb chops,lamb chops,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
lament,,,,,,,,,,lament,dislike,negative,,,,,,,,,,,,,,,,
lanchinho,lanchinho,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
laranja e acerola,,,,,,,laranja e acerola,fruta de bolso,kobber,,,,,,,,,,,,,,,,,,,
lasagna,lasagna,light food,light food,light food,,,,,,,,,,,,,,,,,,,,,,,,
latte,,,,,,,,,,,,,,,,,,,,caffeine,properties,refreshing,refreshing,,,latte,coffee,non alcoholic
lays,lays,salty snacks,light food,light food,salty snacks,packaged food,lays,lays,lays,,,,,,,,,,,portable,portable,rte,rte,,,,,
leblebi,leblebi,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
leche helada,leche helada,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
leisure,,,,,,,,,,leisure,laid back,feel good,,,,,,,,,,,,,,,,
lemon,lemon,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
lemon pie,lemon pie,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
lemonade,,,,,,,,,,,,,,,,,,,,,,,,,,lemonade,juices,non alcoholic
lentil,lentil,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
less sugar,,,,,,,,,,,,,,,,,,,,less sugar,diet,,,,,,,
lettuce,lettuce,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
light,,,,,,,,,,,,,,,,,,,,,,light,light,,,,,
light meal substitute,,,,,,,,,,,,,,,,,,,,,,light meal substitute,complement meal,,,,,
liking,,,,,,,,,,liking,affection/longing,positive,,,,,,,,,,,,,,,,
lime,lime,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
lime juice,,,,,,,,,,,,,,,,,,,,,,,,,,lemonade,juices,non alcoholic
limon,limon,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
